year,category,band,institute_id,name,city,state
2016,Engineering,,,Government College of Engineering and Research,Avasari (Khurd),Maharashtra
2016,Engineering,,,Government College of Engineering Kannur,Kannur,Kerala
2016,Engineering,,,"Government College of Engineering, Amravati",Amravati,Maharashtra
2016,Engineering,,,"Government College of Engineering, Aurangabad (Academic Autonomous)",Aurangabad,Maharashtra
2016,Engineering,,,"Government College of Engineering, Karad",Karad,Maharashtra
2016,Engineering,,,Government College of Technology,Coimbatore,Tamil Nadu
2016,Engineering,,,Government Engineering College,Rajkot,Gujarat
2016,Engineering,,,Government Engineering College,Palanpur,Gujarat
2016,Engineering,,,Government Engineering College,Ramnagara,Karnataka
2016,Engineering,,,Government Engineering College Bharatpur,Bharatpur,Rajasthan
2016,Engineering,,,Government Engineering College Bhuj,Bhuj,Gujarat
2016,Engineering,,,Government Engineering College Bilaspur,Bilaspur,Chhattisgarh
2016,Engineering,,,Government Engineering College Sreekrishnapuram,Sreekrishnapuram,Kerala
2016,Engineering,,,"Government Engineering College, At.Katpur, Patan",Patan,Gujarat
2016,Engineering,,,"Government Engineering College, Bharuch",Bharuch,Gujarat
2016,Engineering,,,"Government Engineering College, Sector-28",Gandhinagar,Gujarat
2016,Engineering,,,Govindrao Wanjari College of Engineering & Technology,Nagpur,Maharashtra
2016,Engineering,,,"Govt. Engg. College, Jagdalpur, Bastar, Chhattisgarh",Jagdalpur,Chhattisgarh
2016,Engineering,,,"Govt. Engineering College, Barton Hill",Trivandrum,Kerala
2016,Engineering,,,"Govt. Engineering College, Hassan",Hassan,Karnataka
2016,Engineering,,,"Govt. Engineering College, Kozhikode",Kozhikode,Kerala
2016,Engineering,,,Govt. Mahila Engineering College Ajmer,Ajmer,Rajasthan
2016,Engineering,,,Grandhi Varalakshmi Venkata Rao Institute of Technology,Bhimavaram,Andhra Pradesh
2016,Engineering,,,Gsss Institute of Engineering & Technology for Women,Mysore,Karnataka
2016,Engineering,,,Gudlavalleru Engineering College,Gudlavalleru,Andhra Pradesh
2016,Engineering,,,Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh
2016,Engineering,,,Guru Gobind Singh Indraprastha University,New Delhi,Delhi
2016,Engineering,,,Guru Nanak Dev Engineering College,District Ludhiana,Punjab
